areaSqm,longitude,latitude,propertyType,rent
14,5.733569,50.870133,Room,325
32,6.561051,53.215834,Studio,695
12,5.496745,51.421316,Room,300
100,5.084855,52.093718,Apartment,1695
9,4.839345,52.376352,Room,800
40,5.749832,52.13428,Apartment,720
93,5.993252,52.222057,Apartment,805
8,6.902584,52.231115,Room,400
28,6.899159,52.222327,Studio,670
135,5.689059,51.699427,Apartment,1350
97,5.477505,51.396057,Apartment,1195
10,6.880038,52.211881,Room,365
55,4.85179,52.362137,Apartment,1650
15,5.681715,50.851443,Room,360
28,5.693099,50.85127,Apartment,595
18,5.69927,50.84936,Room,375
23,5.677498,50.847135,Room,390
27,5.684848,50.849235,Room,477
70,4.875,52.323157,Apartment,1200
10,4.35512,51.993657,Room,370
42,5.015002,52.040362,Room,550
21,4.425331,52.024539,Room,280
12,5.865712,51.010436,Room,230
12,6.807646,52.25915,Room,240
80,5.607483,52.259559,Apartment,950
51,5.398763,52.157282,Apartment,850
35,5.909682,51.983306,Apartment,575
36,5.909682,51.983306,Apartment,580
120,5.98072,51.99603,Apartment,1000
65,4.442158,51.916356,Apartment,750
65,4.442158,51.916356,Apartment,875
50,5.832802,51.83604,Apartment,895
50,4.909908,52.391248,Apartment,1500
125,4.275736,52.107459,Apartment,1995
15,4.911755,52.384214,Room,625
17,6.542754,53.229877,Room,365
12,5.006833,52.348731,Room,850
11,5.006833,52.348731,Room,800
48,4.875153,52.391491,Apartment,1600
38,4.870266,52.327465,Apartment,1250
95,4.994937,52.358015,Apartment,800
20,5.180453,52.37161,Room,495
18,5.919341,51.99044,Room,440
85,4.906599,52.341917,Apartment,1850
18,5.81051,53.197276,Room,360
25,6.549747,53.217643,Apartment,805
22,4.578782,51.964991,Room,650
18,4.890662,52.354578,Room,850
15,3.57609,51.447416,Room,315
14,3.57609,51.447416,Room,310
16,3.57609,51.447416,Room,320
18,5.859343,51.848456,Room,450
12,3.57609,51.447416,Room,285
16,3.571841,51.448265,Room,315
75,4.891155,52.354582,Apartment,1700
16,4.487068,51.923855,Room,537
17,4.48924,51.925715,Room,570
70,4.821031,52.376437,Apartment,1600
10,4.656974,52.386988,Room,400
39,6.571804,53.218591,Apartment,1050
20,4.321261,52.040359,Room,450
16,4.531865,52.370193,Room,800
25,6.198018,52.144678,Room,460
22,4.902947,52.343806,Studio,700
20,5.778959,53.207072,Room,395
17,6.562114,53.227717,Room,370
18,6.562114,53.227717,Room,320
18,5.952818,51.982078,Room,450
30,6.567724,53.226943,Room,550
100,6.571429,53.199995,Apartment,820
23,6.57213,53.210814,Room,425
76,4.4732,51.890141,Apartment,1500
10,4.320197,52.054364,Room,385
110,4.480892,51.891746,Apartment,990
31,4.49305,52.162115,Studio,800
60,6.566054,53.206875,Apartment,900
8,5.45503,51.429279,Room,275
35,5.094532,52.092977,Apartment,995
13,5.981165,50.892359,Room,299
30,4.308934,52.094649,Room,499
18,6.562114,53.227717,Room,320
17,6.562114,53.227717,Room,370
16,4.279108,52.061261,Room,395
11,6.183145,51.358002,Room,245
16,4.279108,52.061261,Room,395
9,4.327333,52.063266,Room,380
160,4.798834,52.377795,Apartment,4000
15,5.117958,52.099081,Room,340
36,5.920612,51.984188,Room,630
22,5.795278,53.196912,Studio,550
73,6.157317,52.252692,Apartment,780
25,5.852959,51.823973,Studio,530
12,4.85488,52.379886,Room,750
45,4.889752,52.36099,Apartment,1500
30,5.070507,52.173213,Studio,500
12,4.488648,52.163475,Room,300
10,4.516413,51.880698,Room,450
21,4.294621,52.07839,Room,385
10,5.493581,51.424898,Room,215
11,4.914039,52.334499,Room,780
24,4.343542,51.988451,Room,330
14,5.779367,53.210218,Room,250
19,4.352673,52.013643,Room,400
12,4.945027,52.401255,Room,700
18,4.460181,51.91809,Room,520
14,5.671529,51.966298,Room,300
18,6.875907,52.208546,Room,300
40,5.794893,53.192287,Apartment,545
6,6.562833,53.22854,Room,100
22,4.461681,51.906975,Room,600
72,5.319738,51.687065,Apartment,1200
14,4.918021,52.353587,Room,500
15,4.350899,52.018834,Room,475
20,6.905782,52.215277,Room,280
13,4.762759,51.586297,Room,325
20,4.664635,52.306422,Room,650
12,5.809451,53.209445,Room,425
9,4.461697,51.870781,Room,449
19,5.923191,51.982086,Room,457
109,5.112279,52.093809,Apartment,750
9,5.841813,51.848158,Room,300
22,4.456198,51.909525,Room,450
11,6.896998,52.221276,Room,254
9,6.885674,52.228267,Room,350
17,6.891942,52.224819,Room,280
17,6.902303,52.229298,Room,255
11,5.084173,51.568408,Room,345
20,4.462073,51.918402,Room,450
16,6.895065,52.220925,Room,205
