,areaSqm,latitude,longitude,propertyType,rent,shared
2905,31,52.358796000000005,4.832706,Studio,750,0
2906,11,51.554175,5.097037,Room,330,1
2907,20,52.032755,5.659221,Room,345,1
2908,16,52.230365,6.8978839999999995,Room,280,0
2909,12,52.056971000000004,4.227535,Room,650,1
2910,16,52.158753999999995,4.477003,Room,405,1
2911,12,53.228986,6.564319,Room,300,1
2912,12,52.155840000000005,4.495718,Room,300,1
2913,24,52.006988,4.3608839999999995,Room,460,1
2914,19,52.006988,4.3608839999999995,Room,404,1
2915,10,53.21529,6.555424,Room,285,1
2916,16,51.929878,4.507655000000001,Room,450,1
2917,15,51.56445,5.078202,Room,280,1
2918,18,51.955574,5.904351999999999,Room,300,1
2919,15,53.220622999999996,6.562094,Room,450,1
2920,45,52.09147,5.1028519999999995,Apartment,850,0
2921,21,51.923559000000004,4.503628,Room,455,1
2922,20,52.384889,4.88392,Studio,900,0
2923,20,52.214332,6.879289999999999,Room,255,1
2924,12,52.007057,4.354844,Room,380,1
2925,12,52.007057,4.354844,Room,380,1
2926,6,52.345533,4.924736,Room,350,0
2927,10,52.361036999999996,4.843296,Room,711,1
2928,43,53.206134,5.7946800000000005,Room,450,1
2929,32,52.37724,5.207444000000001,Studio,785,0
2930,13,52.331392,4.888913,Room,750,1
2931,12,51.963628,5.662668,Room,250,1
2932,13,51.965831,5.663143,Room,350,1
2933,60,51.922836,4.497973,Apartment,1100,0
2934,12,52.15825,4.509862,Room,420,1
2935,16,51.427322,5.4917489999999995,Room,275,1
2936,22,52.268197,6.8058320000000005,Room,395,1
2937,7,51.983357,5.951871,Room,300,1
2938,12,51.931656,4.50767,Room,560,1
2939,52,52.380376,4.636463,Apartment,1775,0
2940,12,51.929171999999994,4.4730099999999995,Room,600,1
2941,50,52.108846,4.276747,Apartment,950,1
2942,12,51.965914,5.662776,Room,188,1
2943,10,52.384267,4.857419,Room,600,1
2944,30,51.921252,4.510485,Room,390,1
2945,11,52.153139,4.471976000000001,Room,300,1
2946,23,51.993091,4.351559,Room,450,1
2947,14,52.091097999999995,5.117506,Room,800,1
2948,100,51.558802,5.084557,Apartment,1250,0
2949,12,52.224202000000005,6.891383,Room,296,1
2950,12,51.965125,5.661818,Room,300,1
2951,8,51.921344,4.489848,Room,500,1
2952,20,52.95694399999999,4.7637279999999995,Room,475,1
2953,12,51.923017,4.495472,Room,750,1
2954,12,51.923017,4.495472,Room,750,1
2955,16,51.420902000000005,5.463822,Room,450,1
