iter	Passed	Remaining
287	1010	2499
288	1012	2491
289	1014	2483
290	1016	2475
291	1017	2468
292	1019	2460
293	1021	2453
294	1028	2458
295	1034	2460
296	1038	2458
297	1040	2450
298	1042	2443
299	1043	2435
300	1045	2428
301	1047	2420
302	1049	2413
303	1051	2406
304	1052	2399
305	1054	2391
306	1056	2385
307	1058	2378
308	1060	2371
309	1062	2364
310	1063	2356
311	1065	2349
312	1067	2342
313	1068	2335
314	1075	2337
315	1080	2339
316	1086	2340
317	1087	2333
318	1089	2326
319	1091	2319
320	1093	2312
321	1095	2305
322	1096	2299
323	1098	2292
324	1100	2285
325	1102	2279
326	1104	2272
327	1106	2265
328	1107	2259
329	1109	2252
330	1111	2246
331	1113	2239
332	1114	2233
333	1116	2226
334	1121	2225
335	1127	2227
336	1133	2230
337	1135	2223
338	1138	2219
339	1140	2214
340	1142	2208
341	1144	2202
342	1147	2197
343	1149	2191
344	1152	2188
345	1154	2182
346	1156	2176
347	1158	2170
348	1160	2165
349	1162	2159
350	1164	2153
351	1168	2151
352	1174	2153
353	1181	2155
354	1183	2149
355	1184	2143
356	1186	2137
357	1188	2131
358	1190	2125
359	1192	2119
360	1193	2113
361	1195	2107
362	1197	2101
363	1199	2095
364	1201	2089
365	1202	2083
366	1204	2077
367	1206	2072
368	1209	2067
369	1211	2062
370	1212	2056
371	1217	2055
372	1223	2057
373	1229	2057
374	1231	2052
375	1233	2046
376	1234	2040
377	1236	2034
378	1238	2029
379	1240	2023
380	1242	2017
381	1243	2012
382	1245	2006
383	1247	2001
384	1249	1995
385	1250	1989
386	1252	1984
387	1254	1978
388	1256	1973
389	1258	1967
390	1259	1962
391	1261	1957
392	1267	1958
393	1274	1960
394	1278	1958
395	1280	1953
396	1282	1947
397	1284	1942
398	1285	1936
399	1287	1931
400	1289	1926
401	1291	1921
402	1293	1915
403	1295	1910
404	1297	1905
405	1298	1900
406	1300	1894
407	1302	1889
408	1304	1884
409	1305	1879
410	1307	1874
411	1309	1868
412	1316	1871
413	1323	1872
414	1326	1870
415	1328	1865
416	1330	1860
417	1332	1855
418	1334	1849
419	1335	1844
420	1337	1839
421	1339	1834
422	1341	1829
423	1343	1824
424	1344	1819
425	1346	1814
426	1348	1809
427	1350	1804
428	1351	1799
429	1353	1794
430	1355	1789
431	1357	1784
432	1362	1784
